feature,gain,splits,gain_share
sales_mean_14_off7,6071653.855090141,512,0.2977010094473813
product_id,3148388.7928409576,24536,0.1543695579707352
store_id,3013800.149441719,42137,0.14777050342046355
sales_mean_7_off7,1967653.2245092392,640,0.09647657214314284
sales_mean_28_off7,1793923.0931215286,770,0.08795836001842022
sales_same_dow_mean_4w,1107482.6182136536,565,0.05430129932575656
third_category_id,749977.5345439911,6744,0.03677236456907502
day_of_week,613876.5095300674,2732,0.030099156000127893
activity_flag,357723.1345243454,797,0.017539626070959206
sales_lag_7,247995.99866580963,958,0.01215956325965932
discount_mean_7_off7,171549.49170684814,2568,0.00841129255227539
activity_share_28_off7,168564.69443702698,2164,0.008264944097401498
holiday_flag,143797.77063274384,763,0.007050589920860252
stock_hours_mean_7_off7,123882.57794189453,1076,0.006074122370353467
sales_lag_8,122059.9788312912,498,0.005984757988260171
stock_hours_mean_28_off7,83447.52103805542,1118,0.0040915394457284775
stock_hours_lag_7,75401.03788089752,500,0.003697010011811712
city_id,70416.05543613434,1394,0.003452589901360366
second_category_id,67296.56081199646,687,0.0032996370616998876
stock_fullday_share_28_off7,37687.75923347473,349,0.0018478793810370673
sales_lag_21,31623.95768070221,671,0.0015505633800869147
sales_std_28_off7,29446.173731803894,441,0.0014437838278563786
sales_lag_14,25327.285155296326,542,0.0012418294153861069
sales_lag_28,24825.37796974182,589,0.0012172202595688321
sales_lag_11,24466.999641418457,502,0.0011996485085019482
sales_std_7_off7,23444.955415725708,380,0.001149536363615177
sales_lag_13,22615.191520690918,480,0.0011088519710179677
sales_lag_9,17690.332098007202,381,0.0008673797697839889
sales_lag_10,16523.75850200653,402,0.0008101811637019059
sales_lag_12,15919.695720672607,418,0.0007805631874363548
first_category_id,14503.829775810242,225,0.0007111414563746721
sales_zero_share_28_off7,7097.044108390808,163,0.00034797721437780595
management_group_id,5077.340110778809,72,0.000248948525782534
